StudentID,Age,Gender,ParentalEducation,StudyHours_per_week,Absences,PreviousGPA,FinalScore
S0252,21,Female,HighSchool,18.0,7,2.81,61.6
S0253,19,Female,HighSchool,9.6,5,2.5,57.8
S0254,20,Male,University,16.1,3,3.41,91.0
S0255,22,Female,HighSchool,5.9,2,1.73,54.1
S0256,19,Female,College,10.0,5,1.73,54.2
S0257,22,Male,College,11.2,5,3.17,61.1
S0258,18,Female,College,19.3,4,3.19,88.2
S0259,19,Male,HighSchool,10.0,4,1.46,36.1
S0260,22,Female,College,11.8,5,2.81,82.7
S0261,23,Female,University,19.9,2,3.55,97.2
S0262,19,Female,College,0.0,5,0.73,27.8
S0263,20,Male,University,3.4,7,1.68,36.6
S0264,24,Female,University,18.5,3,3.98,94.3
S0265,24,Male,College,13.1,5,3.13,70.0
S0266,22,Male,HighSchool,13.5,5,3.01,70.4
S0267,21,Male,College,2.6,3,1.75,42.7
S0268,20,Female,HighSchool,11.5,5,2.52,47.5
S0269,22,Male,College,21.4,7,3.83,90.2
S0270,22,Female,University,16.2,5,2.69,64.6
S0271,20,Female,College,14.6,2,3.48,79.5
S0272,18,Male,HighSchool,11.8,2,3.24,79.4
S0273,19,Male,HighSchool,12.6,2,3.66,90.1
S0274,24,Male,University,5.0,1,3.2,67.5
S0275,20,Female,HighSchool,12.1,5,2.36,43.1
S0276,21,Female,HighSchool,15.9,5,3.38,79.0
S0277,21,Male,HighSchool,4.7,4,2.36,63.8
S0278,23,Female,HighSchool,7.9,6,2.18,50.8
S0279,18,Male,College,6.5,3,2.11,47.7
S0280,18,Female,College,8.8,3,2.97,74.8
S0281,19,Female,HighSchool,11.1,3,2.43,52.5
S0282,21,Female,HighSchool,0.0,8,0.78,17.0
S0283,22,Female,HighSchool,13.2,3,2.26,54.8
S0284,21,Female,HighSchool,16.0,2,3.93,97.5
S0285,21,Male,HighSchool,9.8,4,2.26,54.4
S0286,24,Male,College,0.3,1,1.7,47.8
S0287,19,Male,HighSchool,7.4,2,2.41,79.0
S0288,22,Female,HighSchool,16.4,2,2.77,75.2
S0289,21,Female,HighSchool,0.0,1,2.23,60.9
S0290,21,Female,HighSchool,10.0,3,2.73,63.0
S0291,23,Female,HighSchool,2.6,2,1.42,34.9
S0292,19,Male,HighSchool,17.9,1,3.71,76.7
S0293,24,Female,University,8.6,6,2.16,63.6
S0294,20,Male,HighSchool,9.7,7,1.09,38.5
S0295,21,Male,College,12.7,5,1.97,49.7
S0296,21,Female,College,19.1,4,2.48,67.3
S0297,23,Female,HighSchool,10.1,4,2.08,62.3
S0298,21,Female,HighSchool,12.3,2,2.78,54.7
S0299,19,Male,College,3.9,6,1.89,38.9
S0300,18,Female,University,20.2,5,3.87,80.8
