StudentID,LectureCompletionRate,QuizScore_avg,TimeSpent_hrs,CourseRating,FeedbackSentiment,SatisfactionStatus
100099,97.1,69.1,23.8,3,-0.57,0
100100,54.6,84.9,42.8,3,0.63,1
100101,74.3,40.1,10.9,2,-0.15,0
100102,96.4,91.9,36.3,2,0.722,0
100103,70.5,94.6,16.1,4,1.0,1
100104,67.7,74.4,9.9,4,-0.773,0
100105,98.9,81.8,13.2,4,0.563,1
100106,72.5,81.8,24.6,3,-0.564,0
100107,97.9,65.0,15.6,2,0.442,0
100108,85.7,81.7,30.2,3,0.157,1
100109,71.8,62.7,9.1,3,0.308,0
100110,86.6,65.5,7.6,3,-0.16,0
100111,83.8,89.8,52.2,4,0.601,1
100112,96.4,87.6,40.3,4,-0.402,0
100113,68.1,64.1,13.8,3,0.809,0
100114,78.7,63.7,24.5,3,0.066,0
100115,76.9,,43.0,2,-0.381,1
100116,90.7,84.3,30.9,4,0.968,1
100117,59.5,60.0,26.6,3,0.22,0
100118,96.3,79.0,44.8,3,1.0,0
100119,86.4,84.5,16.4,3,0.8,1
100120,54.3,72.8,25.0,3,-0.109,1
100121,99.7,88.1,24.3,3,0.212,0
100122,100.0,69.7,21.1,2,0.304,0
100123,96.0,71.0,19.8,4,0.937,1
100124,100.0,60.3,25.5,3,0.447,0
100125,79.5,88.2,25.0,4,0.329,0
100126,48.1,63.3,13.8,3,0.16,0
100127,44.8,78.9,38.1,3,0.227,0
100128,82.6,73.0,14.3,2,0.837,1
100129,67.3,59.3,21.8,3,0.252,1
100130,61.5,65.5,20.9,3,0.072,0
100131,76.9,93.4,29.9,3,-0.004,1
100132,89.1,76.8,7.6,3,0.001,0
100133,51.9,59.9,40.0,3,-0.381,1
100134,69.9,78.3,16.9,2,-0.088,0
100135,100.0,72.0,48.0,3,0.924,1
100136,0.0,100.0,18.9,3,0.157,0
100137,93.7,78.0,23.9,3,0.567,1
100138,69.3,68.7,70.3,3,-0.865,0
100139,87.8,93.9,21.1,3,0.506,1
100140,97.8,48.2,48.5,3,0.177,1
100141,91.3,75.3,25.1,3,0.033,1
100142,94.4,100.0,30.8,3,0.331,0
100143,57.3,72.4,25.5,4,0.027,1
100144,98.0,49.7,39.1,2,-0.706,0
100145,62.7,68.5,16.8,3,0.665,0
100146,82.7,94.4,14.3,2,0.359,0
100147,82.6,79.3,17.3,4,0.109,0
100148,86.7,62.3,25.9,3,-0.185,1
100149,84.1,64.4,21.7,3,-0.411,1
100150,62.8,66.2,36.3,3,0.351,1
100151,53.7,79.1,50.3,2,0.976,0
100152,93.7,92.7,14.3,3,0.341,0
100153,81.3,88.7,16.4,2,-0.372,1
100154,98.7,80.4,11.1,3,0.351,0
100155,77.2,55.4,74.9,4,0.226,0
100156,52.7,55.4,29.0,3,0.639,0
100157,95.4,81.5,31.9,3,0.523,0
100158,71.3,55.2,11.7,2,-1.0,0
100159,84.2,70.8,24.5,4,0.495,0
100160,66.3,78.3,221.8,2,-0.202,0
100161,100.0,58.1,21.3,3,-0.39,0
100162,62.2,59.7,44.3,3,0.165,0
100163,71.9,72.7,87.5,4,0.435,1
100164,79.9,81.1,14.6,3,-0.488,0
100165,58.3,88.9,14.0,3,0.567,0
100166,83.9,82.5,15.1,4,0.594,1
100167,0.0,75.0,59.3,4,0.271,1
100168,69.2,63.6,43.5,2,-0.14,0
100169,85.1,59.0,22.8,3,-0.191,0
100170,28.5,,25.0,3,0.712,1
100171,77.3,79.7,15.7,3,-0.43,0
100172,72.4,78.7,40.0,3,0.729,1
100173,63.3,44.6,19.9,2,0.176,0
100174,97.5,63.0,21.3,4,0.207,0
100175,72.1,90.9,34.3,2,-0.519,0
100176,74.8,,22.1,3,0.184,1
100177,71.2,54.2,21.6,4,0.526,0
100178,43.5,100.0,24.7,3,-0.351,0
100179,57.6,73.6,38.0,3,0.474,0
100180,95.3,79.4,60.7,2,0.29,0
100181,40.0,79.6,33.9,3,-0.04,0
100182,64.2,68.9,38.2,3,0.635,1
100183,70.8,63.8,22.0,3,-0.741,0
100184,100.0,100.0,16.6,2,0.406,0
100185,91.8,88.0,35.2,4,0.979,1
100186,68.0,85.5,27.0,3,0.898,1
100187,100.0,82.1,11.2,3,0.425,1
100188,64.7,60.0,20.5,4,0.114,1
100189,96.2,91.9,23.4,3,-0.036,0
100190,53.5,62.2,18.5,3,0.114,0
100191,97.3,78.0,55.4,3,0.495,1
100192,70.7,51.0,31.9,3,-0.113,0
100193,59.5,45.4,52.2,3,0.591,1
100194,74.1,78.5,28.4,3,1.0,0
100195,83.0,62.7,25.7,2,0.222,0
100196,69.1,46.2,14.7,3,-0.355,0
100197,88.0,81.6,24.7,3,-0.355,0
100198,67.5,100.0,24.7,3,0.599,0
100199,89.2,93.5,11.6,4,0.223,1
100200,86.0,70.4,18.2,4,0.645,1
100201,76.9,74.1,20.5,4,0.01,0
100202,70.1,86.4,30.8,4,0.624,1
100203,80.7,89.7,31.6,4,0.179,1
100204,87.9,69.2,17.8,4,-0.08,1
100205,100.0,74.5,31.7,4,0.07,0
100206,94.9,78.2,22.2,4,-0.289,1
100207,95.6,81.8,5.1,4,1.0,1
100208,100.0,72.1,18.8,3,0.207,1
100209,87.3,72.3,44.4,3,0.54,1
100210,86.7,,9.7,3,0.008,1
100211,90.7,90.9,26.1,3,-0.223,0
100212,59.8,80.7,58.7,3,0.145,1
100213,70.0,98.1,16.1,3,0.746,0
100214,68.9,68.6,24.6,2,0.016,0
100215,89.7,96.7,12.0,4,-0.142,0
100216,74.9,81.6,60.0,3,0.32,0
100217,80.5,100.0,23.4,3,0.475,0
100218,97.6,57.3,25.2,4,0.989,0
100219,93.5,64.3,51.7,3,0.409,1
100220,75.1,79.9,35.3,4,0.54,0
100221,65.9,79.6,15.2,2,0.574,0
100222,98.4,100.0,17.2,4,-0.269,1
100223,91.9,64.6,32.2,4,-0.183,1
100224,49.1,86.7,17.4,3,-0.238,0
100225,72.4,90.3,7.7,4,-0.349,1
100226,81.0,83.9,23.8,3,0.608,0
100227,92.0,60.5,10.9,3,0.381,0
100228,94.4,93.7,59.7,4,0.286,1
100229,83.1,91.2,27.0,2,-0.917,0
100230,88.5,82.4,14.9,3,1.0,0
100231,79.2,76.9,16.7,3,-0.152,0
100232,65.9,77.2,8.7,4,1.0,1
100233,73.3,72.9,13.4,2,-0.402,0
100234,78.3,83.0,42.9,4,-0.116,1
100235,77.4,74.4,83.7,3,-0.741,1
100236,44.1,62.1,36.6,3,0.413,0
100237,70.8,59.3,23.3,2,-0.246,0
100238,79.0,63.5,19.3,2,-0.233,0
100239,72.9,77.1,14.5,3,-0.368,0
100240,73.6,73.6,76.2,3,0.6,1
100241,86.8,77.0,22.1,4,0.57,1
100242,58.6,81.0,78.5,3,1.0,0
100243,48.7,65.2,52.8,2,-0.059,0
100244,71.7,94.5,9.4,3,0.348,1
100245,91.8,70.3,17.0,3,-0.33,1
100246,100.0,67.9,17.0,3,0.099,0
100247,92.1,80.8,23.5,3,0.017,1
100248,51.6,48.3,23.7,3,0.459,0
100249,73.8,62.9,127.5,4,0.708,1
100250,82.6,87.7,13.6,3,0.696,1
100251,81.2,49.7,27.8,2,-0.129,0
100252,87.7,89.6,34.4,3,0.699,0
100253,61.5,95.2,24.5,3,0.23,0
100254,79.2,68.8,26.1,2,0.104,0
100255,85.6,78.1,13.8,3,-0.069,0
100256,92.9,89.7,26.0,3,-0.002,1
100257,63.5,67.5,32.5,3,1.0,1
100258,71.8,86.1,29.4,3,0.388,1
100259,29.3,64.6,33.6,3,0.329,1
100260,66.8,67.3,53.4,2,0.132,0
100261,68.6,62.8,41.1,2,1.0,1
100262,59.6,78.8,25.5,3,0.837,0
100263,81.0,90.2,12.9,3,-0.074,0
100264,77.0,71.4,17.6,2,0.127,0
100265,37.3,56.2,21.7,3,0.154,1
100266,81.9,58.8,28.2,3,0.316,0
100267,61.3,79.5,18.9,3,-0.066,0
100268,86.7,99.8,14.7,3,0.447,0
100269,54.9,79.5,12.8,3,0.903,1
100270,78.5,68.6,9.9,4,-0.341,1
100271,72.9,84.7,21.6,3,-0.258,0
100272,83.5,70.6,10.9,3,0.033,0
100273,80.2,68.7,14.1,3,0.053,1
100274,73.4,,19.8,3,1.0,0
100275,50.3,93.7,11.8,4,0.701,1
100276,51.4,38.5,30.2,3,0.675,0
100277,67.5,85.2,36.9,4,0.131,1
100278,77.9,67.5,18.1,3,0.121,1
100279,67.1,68.3,19.3,4,-0.403,1
100280,89.3,97.7,33.0,4,0.602,1
100281,73.0,,16.6,3,0.471,1
100282,60.6,64.5,16.0,3,0.829,1
100283,73.0,72.2,47.4,3,0.155,0
100284,82.1,79.8,39.9,3,0.186,0
100285,83.8,67.8,34.2,4,0.327,0
100286,100.0,52.0,40.8,3,0.651,0
100287,66.0,61.9,8.3,3,-0.412,0
100288,76.7,91.9,51.7,3,0.581,0
100289,85.7,75.0,30.4,2,0.241,0
100290,77.6,80.3,42.8,3,-0.226,1
100291,69.0,70.3,30.4,3,-0.688,0
100292,50.1,64.8,25.2,4,0.189,1
100293,68.8,97.5,21.1,2,0.901,1
100294,58.7,71.4,30.0,3,1.0,1
100295,46.9,67.8,20.7,4,0.41,0
100296,63.7,89.3,39.5,2,1.0,1
100297,59.2,63.9,10.3,4,0.231,1
100298,88.5,65.7,18.2,3,0.679,0
100299,88.8,74.1,75.5,3,0.047,1
100300,61.7,74.0,17.4,3,0.018,0
100301,73.3,77.6,21.5,3,-0.055,0
100302,44.6,100.0,15.1,3,-0.677,0
100303,69.1,78.7,29.5,4,0.829,1
100304,85.2,40.7,16.4,3,-0.039,1
100305,92.8,78.6,22.2,4,-0.111,1
100306,65.2,74.5,39.1,3,-0.281,0
100307,96.9,74.6,16.7,4,0.158,1
100308,50.7,77.4,37.9,4,1.0,1
100309,55.5,73.6,38.6,2,1.0,0
100310,90.8,73.3,43.8,5,-0.497,1
100311,100.0,82.6,26.5,3,0.09,0
100312,86.9,66.4,145.9,4,-0.215,0
100313,77.3,60.7,43.8,3,0.695,0
100314,38.5,100.0,29.3,4,0.379,0
100315,41.6,64.0,15.2,3,-0.036,0
100316,80.3,75.4,23.3,3,0.283,0
100317,71.6,53.1,53.8,3,0.035,0
100318,58.1,75.6,62.8,4,0.976,1
100319,79.2,60.9,55.3,3,0.496,1
100320,80.1,67.8,37.8,4,0.551,1
100321,95.0,88.6,12.3,2,-0.95,1
100322,80.5,80.6,32.1,3,0.22,1
100323,100.0,82.0,12.4,3,1.0,1
100324,78.1,49.2,10.8,3,0.847,0
100325,75.9,99.7,28.0,4,-0.581,1
100326,97.2,57.3,32.7,3,0.109,0
100327,60.4,,40.3,3,-0.291,0
100328,100.0,88.3,32.2,4,1.0,1
100329,84.8,82.1,32.9,2,0.36,0
100330,84.9,62.0,14.3,3,-0.096,0
100331,87.5,76.1,23.2,3,0.265,1
100332,100.0,67.4,10.7,3,-0.923,0
100333,92.3,74.4,8.2,3,-0.238,1
100334,49.1,70.5,36.9,4,0.266,0
100335,100.0,45.5,16.2,4,0.631,1
100336,71.9,89.7,39.6,3,-0.624,1
100337,79.9,72.9,45.1,4,0.078,0
100338,55.0,67.2,17.5,4,0.704,1
100339,87.5,66.2,33.9,3,-0.403,0
100340,66.3,79.0,17.1,3,0.353,0
100341,79.8,61.5,8.9,3,0.28,1
100342,72.9,42.4,26.3,4,1.0,1
100343,100.0,79.7,18.9,3,0.146,0
100344,100.0,81.3,19.3,3,0.173,1
100345,78.8,71.2,72.7,2,0.635,0
100346,79.2,57.9,10.6,4,-0.347,0
100347,71.3,75.2,30.3,3,0.151,1
100348,97.9,53.5,14.2,3,0.045,0
100349,72.1,59.6,40.4,4,0.187,1
100350,70.4,63.5,28.9,2,0.632,0
100351,95.6,85.8,30.2,3,0.499,0
100352,68.3,68.9,14.6,3,-0.087,0
100353,77.3,67.7,16.1,3,0.312,0
100354,49.5,100.0,40.9,4,0.921,1
100355,90.7,78.9,65.0,2,-0.124,0
100356,100.0,78.7,31.9,3,0.315,0
100357,91.0,68.8,15.0,4,0.163,0
100358,100.0,65.7,29.6,3,0.222,0
100359,62.8,43.4,93.2,3,-0.484,1
100360,82.3,87.6,26.0,3,0.885,0
100361,61.0,80.3,54.8,3,-0.098,0
100362,73.9,71.5,16.3,3,0.712,0
100363,91.9,72.1,24.0,3,-0.03,0
100364,79.8,84.3,34.5,3,-0.031,0
100365,52.6,52.2,30.5,4,0.796,1
100366,54.3,65.7,16.1,4,0.697,1
100367,53.1,58.1,15.7,3,0.344,1
100368,86.8,98.8,42.2,2,0.593,0
100369,100.0,86.3,47.2,3,0.12,1
100370,100.0,43.2,56.4,3,0.246,0
100371,43.9,52.8,66.2,2,-0.048,0
100372,100.0,72.1,26.4,3,0.657,1
100373,94.9,67.4,20.7,2,-0.062,0
100374,50.2,55.5,51.6,3,0.918,0
100375,72.5,,36.3,3,0.108,1
100376,97.7,78.4,14.3,2,0.259,0
100377,87.9,80.6,13.9,3,0.591,0
100378,54.4,64.3,32.2,3,0.261,0
100379,89.0,,22.3,3,0.116,1
100380,39.5,68.7,24.2,3,0.236,0
100381,74.0,70.0,44.3,3,0.652,0
100382,98.5,82.6,37.2,3,-0.048,0
100383,78.3,51.2,51.0,3,0.193,0
100384,69.0,96.4,8.5,3,0.255,0
100385,94.0,76.6,28.2,3,0.639,0
100386,95.5,91.9,35.9,3,0.205,1
100387,100.0,58.9,10.6,3,1.0,0
100388,93.7,61.1,17.1,3,0.18,0
100389,97.5,57.7,15.5,5,0.143,0
100390,91.2,77.5,24.8,3,0.173,1
100391,82.8,74.9,60.1,3,-0.342,0
100392,0.0,67.5,74.6,5,-0.217,0
100393,73.7,59.8,15.7,3,0.011,0
100394,56.2,56.3,32.8,2,0.761,1
100395,60.8,73.3,33.4,4,0.235,0
100396,72.9,67.5,30.4,3,0.032,0
100397,82.3,64.4,30.6,4,0.802,1
100398,100.0,95.7,29.0,3,0.948,0
100399,77.2,72.8,62.1,3,0.815,0
100400,96.1,91.8,45.0,4,-0.134,0
100401,97.4,66.5,13.7,3,0.027,0
100402,73.8,77.4,38.0,4,1.0,0
100403,88.7,73.2,40.1,3,0.359,0
100404,73.6,50.2,29.2,3,0.13,0
100405,100.0,94.0,45.7,4,0.573,1
100406,89.4,72.1,27.2,4,0.703,1
100407,56.6,84.4,27.4,3,-0.007,1
100408,80.9,63.5,26.2,4,0.349,0
100409,100.0,71.7,8.1,4,0.667,1
100410,74.7,61.9,23.5,3,-0.272,1
100411,86.1,91.3,17.0,3,0.256,1
100412,87.8,78.4,12.8,3,-0.251,0
100413,59.3,79.1,54.0,2,-0.193,0
100414,87.2,93.0,32.4,3,-0.003,0
100415,52.9,90.2,24.1,3,0.465,0
100416,66.7,84.7,18.0,3,0.105,0
100417,97.4,54.1,28.9,3,-0.042,0
100418,84.4,64.3,42.3,3,0.273,1
100419,72.5,59.9,15.6,3,-0.266,1
100420,86.0,84.2,24.5,4,0.443,1
100421,76.9,76.4,39.5,3,0.759,1
100422,78.2,54.5,8.5,2,0.214,0
100423,89.8,71.4,23.8,4,0.159,1
100424,64.9,53.1,19.4,3,0.418,1
100425,0.0,73.3,22.8,3,-0.663,0
100426,72.4,50.8,232.0,3,0.492,0
100427,49.5,81.4,26.5,3,1.0,0
100428,61.4,79.3,70.7,4,0.195,1
100429,100.0,100.0,20.5,4,0.196,0
100430,84.9,85.9,28.8,3,0.585,0
100431,54.2,68.1,73.5,3,0.99,1
100432,50.3,85.5,18.1,3,0.689,1
100433,76.0,54.4,66.6,3,-0.72,0
100434,100.0,60.5,24.6,3,0.504,0
100435,74.6,78.7,65.4,3,1.0,1
100436,100.0,43.8,37.1,3,0.53,1
100437,84.3,73.5,29.0,3,-0.27,0
100438,86.5,59.7,23.7,3,0.377,1
100439,54.0,75.4,17.4,3,-0.326,0
100440,94.9,58.9,25.6,3,0.805,1
100441,72.0,79.9,40.2,3,-0.18,0
100442,93.5,74.3,24.4,3,0.283,0
100443,63.3,93.6,20.6,3,-0.136,1
100444,81.2,74.1,21.4,3,0.004,1
100445,84.3,63.2,42.3,3,0.919,1
100446,75.2,70.5,48.1,4,0.297,1
100447,85.3,55.2,17.0,3,-0.002,0
100448,73.2,79.7,17.0,3,-0.265,0
100449,66.3,82.3,30.2,4,-0.592,0
100450,100.0,100.0,56.8,3,-0.313,0
100451,96.9,65.3,46.1,3,0.3,1
100452,64.3,70.3,12.3,3,0.691,0
100453,88.2,,21.2,4,-0.002,0
100454,64.6,77.0,14.7,4,0.957,1
100455,56.7,79.3,21.2,3,-0.073,0
100456,96.6,73.3,59.3,3,0.143,1
100457,47.3,89.2,11.2,3,-0.236,1
100458,94.7,65.4,10.1,3,0.696,1
100459,73.5,87.8,15.6,3,1.0,1
100460,74.2,81.5,28.7,4,-0.543,1
100461,85.4,73.8,34.5,4,0.094,1
100462,88.5,69.6,31.2,3,0.819,0
100463,63.1,100.0,46.8,3,-0.401,0
100464,90.9,62.6,9.3,3,0.505,0
100465,80.0,,47.2,3,0.8,1
100466,55.4,63.5,20.7,3,0.285,0
100467,74.9,99.0,36.7,3,0.498,1
100468,100.0,86.4,11.8,3,1.0,1
100469,100.0,64.5,24.6,2,1.0,0
100470,90.9,81.2,27.9,2,0.222,1
100471,56.6,77.6,46.3,3,0.01,0
100472,86.8,66.8,10.3,3,-0.164,0
100473,93.3,84.6,25.0,3,0.69,1
100474,91.1,79.5,13.5,3,-0.367,0
100475,92.1,77.0,32.4,3,0.136,0
100476,84.5,73.4,37.6,3,0.296,1
100477,76.7,80.0,49.8,3,0.024,0
100478,67.0,77.2,18.3,3,0.376,0
100479,43.8,74.8,246.4,3,1.0,0
100480,84.1,65.0,51.9,2,0.195,0
100481,81.3,97.7,9.9,3,0.054,0
100482,88.0,59.3,34.4,3,0.707,0
100483,53.9,80.0,41.6,4,0.358,0
100484,89.6,69.5,21.3,3,0.898,1
100485,100.0,98.6,12.6,4,0.324,1
100486,79.4,61.4,41.2,2,0.138,0
100487,76.9,63.7,12.7,3,-0.553,0
100488,83.6,60.4,22.2,3,-0.479,0
100489,100.0,78.5,24.0,4,-0.576,1
100490,59.6,54.8,36.4,4,0.421,1
100491,81.7,67.3,17.4,3,-0.363,0
100492,63.6,43.9,16.8,4,0.815,0
100493,68.2,77.4,25.9,3,0.264,0
100494,77.1,67.0,42.7,4,0.14,0
100495,100.0,53.2,86.3,3,-0.13,0
100496,100.0,89.2,10.7,3,0.53,1
100497,86.1,55.7,29.2,2,-0.112,0
100498,71.2,85.2,13.5,2,-0.193,0
100499,100.0,64.2,43.0,3,0.785,1
100500,70.3,96.4,14.6,2,0.41,0
100501,67.7,84.5,16.9,3,0.144,1
100502,46.1,59.9,17.7,4,0.539,0
100503,100.0,,23.5,3,0.254,0
100504,95.4,82.5,29.3,3,0.422,1
100505,100.0,70.3,32.0,3,-0.118,1
100506,53.0,71.6,24.5,3,1.0,0
100507,100.0,91.8,11.8,3,-0.011,1
100508,79.3,63.5,36.6,3,0.95,0
100509,92.5,75.3,23.8,3,0.165,0
100510,48.3,87.4,46.5,4,0.613,0
100511,100.0,85.3,16.6,3,0.58,1
100512,92.2,71.8,10.2,4,0.766,1
100513,77.3,70.0,24.1,3,-0.128,0
100514,89.6,49.7,50.0,3,0.734,0
100515,0.0,59.2,26.8,4,1.0,0
100516,67.6,78.5,22.0,4,0.134,0
100517,69.7,72.1,15.2,3,0.266,1
100518,44.7,75.0,64.5,3,0.014,1
100519,93.5,,13.9,3,0.094,0
100520,99.4,57.4,16.5,3,1.0,1
100521,65.4,70.7,33.6,3,-0.202,1
100522,84.3,76.6,8.8,4,-0.174,0
100523,73.2,64.1,49.5,3,0.975,1
100524,83.9,94.0,34.6,3,0.531,0
100525,66.7,86.7,40.2,4,1.0,1
100526,62.1,78.1,33.3,2,0.047,0
100527,96.9,99.1,22.5,3,0.307,0
100528,76.9,53.0,13.7,2,-0.047,0
100529,100.0,73.9,22.7,3,0.314,1
100530,78.8,79.1,14.3,4,-0.548,1
100531,61.3,61.2,32.1,3,0.558,1
100532,100.0,78.2,38.2,3,0.396,1
100533,89.4,58.5,55.3,4,0.224,0
100534,91.1,83.7,30.1,3,0.074,0
100535,99.4,88.8,40.8,3,-0.153,0
100536,66.2,77.8,20.8,4,0.577,1
100537,75.7,48.1,18.9,3,-0.277,0
100538,74.9,60.5,31.8,2,0.48,0
100539,54.8,81.9,19.8,3,1.0,1
100540,73.3,74.3,28.4,3,0.918,0
100541,100.0,36.3,13.7,4,-0.427,1
100542,82.3,91.4,15.1,3,0.008,1
100543,53.8,75.9,34.8,4,0.44,0
100544,50.0,62.5,40.0,4,0.218,0
100545,100.0,87.9,14.3,3,-0.38,0
100546,76.4,,35.5,3,0.423,0
100547,66.3,64.4,18.3,3,0.245,0
100548,73.1,79.0,24.8,3,1.0,1
100549,51.4,98.9,53.5,3,0.136,0
100550,100.0,96.7,38.2,3,0.776,1
100551,70.9,79.0,38.0,3,-0.32,0
100552,100.0,80.5,70.1,3,-0.213,1
100553,78.9,85.1,16.7,3,0.575,1
100554,100.0,56.4,14.3,3,0.738,1
100555,82.6,83.0,16.5,3,-0.181,0
100556,93.4,63.7,21.3,3,0.261,1
100557,90.9,78.5,6.7,3,-0.372,0
100558,89.2,70.8,21.9,3,0.168,0
100559,84.3,81.0,18.2,3,0.627,0
100560,73.8,75.7,37.8,3,0.054,0
100561,100.0,31.0,29.8,2,0.138,0
100562,61.7,76.5,17.6,3,-0.258,0
100563,78.1,83.0,33.9,3,-0.042,1
100564,78.3,80.2,36.5,3,1.0,0
100565,85.2,72.6,16.1,4,0.283,0
100566,70.3,97.0,18.7,3,-0.201,0
100567,83.7,78.4,7.2,3,0.108,0
100568,75.0,80.1,13.5,3,-0.469,0
100569,49.5,88.6,16.3,3,-0.206,1
100570,78.2,79.1,25.6,3,0.862,0
100571,58.2,61.4,14.6,3,0.186,1
100572,46.8,39.9,18.5,3,1.0,0
100573,80.5,67.3,12.5,3,0.207,1
100574,86.8,84.7,27.0,2,0.234,1
100575,87.5,69.1,31.0,3,0.538,1
100576,88.2,85.2,30.6,4,-0.953,1
100577,43.2,76.1,24.7,4,0.342,0
100578,53.5,92.0,10.5,4,0.228,1
100579,100.0,69.9,17.4,4,0.919,1
100580,59.2,80.5,19.6,3,0.684,0
100581,89.0,81.1,19.7,3,-0.26,1
100582,65.6,95.0,25.6,3,0.809,0
100583,79.4,50.1,53.7,4,0.132,1
100584,66.6,67.6,38.3,3,-0.157,0
100585,88.1,85.9,14.3,5,0.339,1
100586,80.5,95.6,35.6,3,0.159,0
100587,69.9,77.4,34.9,4,0.942,0
100588,59.1,69.9,15.7,3,0.403,1
100589,82.8,84.6,39.1,4,0.343,0
100590,56.2,86.2,22.5,4,0.655,1
100591,85.7,69.0,11.3,3,0.742,0
100592,100.0,78.6,31.5,3,0.603,0
100593,100.0,90.5,27.6,3,0.889,1
100594,90.9,100.0,21.6,3,0.524,0
100595,76.5,84.4,24.0,4,0.325,1
100596,43.1,74.6,16.5,3,0.808,0
100597,54.2,73.2,34.3,3,0.209,0
100598,100.0,,24.0,3,0.265,0
