ProductID,AvgCustomerAge,AvgCustomerIncome,RegionPopularity
P000156,35.4,98877.0,24.8
P000157,23.3,45853.0,50.8
P000158,26.6,81948.0,51.0
P000159,29.7,35683.0,42.0
P000160,36.0,52462.0,45.7
P000161,32.0,48320.0,52.3
P000162,31.5,48398.0,49.8
P000163,35.4,76584.0,44.4
P000164,28.5,55939.0,58.3
P000165,44.5,67420.0,35.8
P000166,34.6,49183.0,41.1
P000167,27.1,49582.0,40.8
P000168,28.1,97364.0,50.7
P000169,32.8,68933.0,62.0
P000170,33.7,51367.0,43.3
P000171,40.6,74635.0,52.9
P000172,36.2,50765.0,47.7
P000173,25.7,40808.0,58.1
P000174,36.2,68183.0,51.1
P000175,31.2,52555.0,48.6
P000176,36.3,47566.0,45.1
P000177,33.4,42296.0,38.9
P000178,26.2,59420.0,52.2
P000179,29.9,41496.0,40.5
P000180,25.1,56388.0,49.1
P000181,34.5,,49.4
P000182,31.6,42694.0,41.8
P000183,29.5,35516.0,42.8
P000184,35.1,63331.0,38.7
P000185,30.6,69165.0,41.7
P000186,40.8,71106.0,41.1
P000187,37.5,107517.0,49.6
P000188,,57103.0,49.9
P000189,40.0,93964.0,46.7
P000190,33.4,66998.0,48.0
P000191,32.2,49037.0,31.5
P000192,27.5,,36.1
P000193,34.1,75586.0,50.5
P000194,21.5,50874.0,50.9
P000195,36.2,43333.0,46.3
P000196,35.9,46977.0,49.6
P000197,39.3,,42.9
P000198,36.4,57066.0,37.5
P000199,28.4,50110.0,24.5
P000200,35.1,68009.0,41.7
P000201,,76170.0,42.3
P000202,30.8,108668.0,37.8
P000203,28.7,106110.0,42.6
P000204,31.6,49285.0,41.2
P000205,32.2,40952.0,46.6
P000206,29.2,72982.0,50.2
P000207,38.5,56480.0,49.9
P000208,30.6,67352.0,39.4
P000209,40.0,55663.0,51.1
P000210,30.8,67989.0,40.2
P000211,31.7,69847.0,46.8
P000212,38.7,51411.0,42.5
P000213,38.2,116950.0,53.7
P000214,33.3,99122.0,50.1
P000215,22.9,59715.0,55.8
P000216,40.8,75801.0,35.0
P000217,32.5,49550.0,49.8
P000218,34.2,63011.0,52.1
P000219,31.1,79145.0,55.2
P000220,40.7,111201.0,50.2
P000221,34.2,51774.0,38.6
P000222,36.7,90176.0,49.9
P000223,30.6,99607.0,41.5
P000224,32.9,72455.0,40.4
P000225,23.1,60178.0,37.6
P000226,31.4,36908.0,51.4
P000227,,76159.0,28.1
P000228,28.3,49036.0,59.5
P000229,38.4,65311.0,52.9
P000230,30.5,88350.0,36.2
P000231,38.0,78076.0,53.5
P000232,32.1,66426.0,41.9
P000233,32.6,62563.0,48.6
P000234,36.1,43340.0,58.3
P000235,29.4,55672.0,37.1
P000236,28.5,,49.5
P000237,24.4,73581.0,38.1
P000238,,54189.0,52.5
P000239,37.4,67059.0,41.0
P000240,34.4,101813.0,37.4
P000241,35.2,52031.0,41.6
P000242,32.7,80871.0,41.6
P000243,22.5,89396.0,58.2
P000244,36.3,113062.0,47.2
P000245,23.0,,41.1
P000246,34.5,95790.0,55.8
P000247,28.6,53137.0,49.1
P000248,,46973.0,47.4
P000249,33.9,94631.0,57.4
P000250,34.8,64139.0,52.1
P000251,31.2,55347.0,45.3
P000252,22.4,64429.0,44.9
P000253,32.7,59613.0,44.4
P000254,28.1,54799.0,52.1
P000255,33.9,72524.0,49.9
P000256,,,42.2
P000257,33.0,69544.0,44.6
P000258,34.7,66050.0,48.4
P000259,30.4,56714.0,44.2
P000260,34.3,,40.2
P000261,36.4,70188.0,42.0
P000262,35.5,40798.0,38.3
P000263,,61952.0,47.9
P000264,32.4,69827.0,49.5
P000265,34.1,64137.0,55.0
P000266,40.5,76670.0,53.0
P000267,27.6,70647.0,45.2
P000268,30.2,57840.0,51.0
P000269,33.0,,40.9
P000270,28.9,65197.0,48.4
P000271,27.6,58895.0,55.3
P000272,35.8,49959.0,39.3
P000273,35.6,98773.0,42.7
P000274,38.9,76890.0,40.0
P000275,36.7,27906.0,42.0
P000276,29.0,78852.0,48.4
P000277,,62470.0,42.4
P000278,36.5,65775.0,47.2
P000279,37.2,71400.0,38.2
P000280,35.4,56605.0,49.2
P000281,30.3,34926.0,46.5
P000282,30.4,54322.0,47.4
P000283,18.0,36631.0,48.1
P000284,34.7,93400.0,44.5
P000285,31.1,85401.0,64.1
P000286,33.3,59990.0,47.8
P000287,,60742.0,47.2
P000288,30.7,53226.0,56.8
P000289,28.5,53964.0,32.2
P000290,32.1,49656.0,52.0
P000291,28.7,69550.0,44.4
P000292,31.3,71948.0,49.6
P000293,29.4,54253.0,40.9
P000294,32.2,59927.0,52.8
P000295,38.0,51725.0,46.1
P000296,18.0,68435.0,47.8
P000297,33.2,69017.0,55.3
P000298,28.7,41673.0,50.5
P000299,32.1,59680.0,41.5
P000300,29.1,56399.0,43.7
P000301,38.3,75852.0,38.9
P000302,33.3,64179.0,65.6
P000303,34.1,54577.0,48.5
P000304,23.1,53252.0,38.1
P000305,32.6,53746.0,48.4
P000306,34.1,79393.0,39.6
P000307,30.7,62276.0,59.7
P000308,36.0,48537.0,50.5
P000309,40.7,71537.0,46.8
P000310,27.9,59548.0,45.5
P000311,24.6,50246.0,56.7
P000312,28.9,55269.0,48.4
P000313,28.9,70459.0,45.3
P000314,18.0,67862.0,41.3
P000315,,53766.0,40.3
P000316,25.2,70472.0,46.1
P000317,37.7,68213.0,54.7
P000318,34.1,45221.0,48.7
P000319,38.4,63492.0,47.9
P000320,28.9,57955.0,50.1
P000321,28.4,68643.0,41.8
P000322,30.7,44170.0,45.6
P000323,38.9,57987.0,55.1
P000324,28.9,78010.0,39.0
P000325,36.1,48977.0,53.8
P000326,26.8,57128.0,36.7
P000327,22.5,35512.0,47.0
P000328,34.3,72503.0,48.8
P000329,34.2,74536.0,49.4
P000330,35.8,73034.0,58.8
P000331,26.1,56610.0,53.3
P000332,25.2,36630.0,47.2
P000333,33.0,62960.0,54.9
P000334,24.1,96546.0,48.6
P000335,35.9,60269.0,38.6
P000336,39.9,51840.0,43.6
P000337,30.9,46045.0,53.2
P000338,27.8,55750.0,44.2
P000339,38.8,55728.0,40.2
P000340,29.5,75822.0,30.3
P000341,25.2,57027.0,52.5
P000342,32.8,85951.0,37.8
P000343,36.7,39953.0,34.7
P000344,21.8,71562.0,52.5
P000345,38.4,80767.0,36.7
P000346,30.2,,46.6
P000347,37.3,93422.0,53.1
P000348,26.8,40152.0,60.7
P000349,31.7,58499.0,46.7
P000350,38.7,94193.0,31.1
P000351,,73300.0,63.1
P000352,38.3,86487.0,32.8
P000353,33.1,68056.0,53.6
P000354,35.5,81939.0,37.5
P000355,35.5,63410.0,51.6
P000356,27.2,56543.0,55.8
P000357,38.4,43205.0,41.6
P000358,,101106.0,32.8
P000359,34.7,49802.0,46.5
P000360,30.4,87631.0,45.9
P000361,30.7,59313.0,47.7
P000362,38.4,64657.0,59.9
P000363,31.6,79131.0,33.3
P000364,30.9,36049.0,43.3
P000365,32.7,,41.7
P000366,34.7,56318.0,39.4
P000367,30.8,,52.0
P000368,34.1,63773.0,41.1
P000369,31.7,69501.0,50.4
P000370,27.8,100341.0,51.9
P000371,30.0,56913.0,49.6
P000372,31.2,63096.0,65.3
P000373,36.5,92205.0,32.0
P000374,26.9,58539.0,56.2
P000375,38.1,83387.0,51.3
P000376,39.2,58169.0,55.3
P000377,26.9,50470.0,59.0
P000378,34.0,95880.0,49.0
P000379,32.7,59927.0,42.2
P000380,36.1,71490.0,46.4
P000381,37.4,50286.0,44.8
P000382,31.0,64251.0,44.7
P000383,21.9,46465.0,46.4
P000384,28.0,67043.0,59.5
P000385,37.3,78519.0,48.3
P000386,27.3,60535.0,27.5
P000387,32.1,91426.0,41.2
P000388,37.3,77673.0,48.6
P000389,30.3,62604.0,46.6
P000390,35.4,90312.0,57.7
P000391,26.4,54390.0,37.7
P000392,37.3,67870.0,59.9
P000393,39.3,91112.0,48.8
P000394,43.1,40769.0,52.1
P000395,30.0,53795.0,40.3
P000396,32.8,71084.0,52.3
P000397,40.6,69511.0,32.8
P000398,31.0,64730.0,47.6
P000399,39.8,65180.0,50.2
P000400,29.7,71241.0,35.3
P000401,36.7,59832.0,43.2
P000402,25.8,,41.6
P000403,43.9,70157.0,51.2
P000404,23.6,46353.0,32.8
P000405,32.1,70023.0,48.5
P000406,27.1,70751.0,55.0
P000407,30.7,87505.0,53.0
P000408,38.2,92797.0,51.3
P000409,32.7,63998.0,64.6
P000410,23.8,58354.0,45.8
P000411,29.8,43924.0,47.0
P000412,34.8,,51.1
P000413,38.2,84952.0,50.4
P000414,28.9,63774.0,32.6
P000415,32.8,75542.0,45.5
P000416,27.3,64488.0,50.2
P000417,30.7,,62.5
P000418,34.1,,41.5
P000419,29.4,56208.0,48.2
P000420,42.3,65052.0,40.2
P000421,35.7,65020.0,39.9
P000422,34.0,65268.0,37.0
P000423,35.4,79131.0,49.4
P000424,32.1,47871.0,55.9
P000425,32.1,86977.0,58.7
P000426,43.3,83626.0,48.5
P000427,26.2,45968.0,38.7
P000428,36.7,58520.0,51.0
P000429,27.9,74270.0,63.2
P000430,37.2,62828.0,51.5
P000431,32.6,59418.0,33.6
P000432,37.2,65216.0,56.2
P000433,29.9,36528.0,68.8
P000434,37.5,89455.0,50.0
P000435,33.5,,63.1
P000436,29.3,69819.0,50.0
P000437,31.6,40793.0,41.5
P000438,34.3,84645.0,35.3
P000439,37.3,121619.0,45.3
P000440,31.3,40078.0,41.2
P000441,31.7,62785.0,35.8
P000442,26.0,131271.0,59.9
P000443,18.0,,41.0
P000444,42.3,56718.0,71.8
P000445,25.4,85369.0,48.3
P000446,38.3,102532.0,48.7
P000447,25.2,57785.0,47.5
P000448,33.5,104325.0,47.2
P000449,37.4,103394.0,34.1
P000450,40.0,44324.0,38.4
P000451,43.9,56010.0,48.3
P000452,37.5,66137.0,46.2
P000453,29.2,31174.0,58.4
P000454,32.2,61144.0,59.2
P000455,35.3,71276.0,48.6
P000456,41.8,82381.0,31.1
P000457,42.9,104662.0,42.5
P000458,35.4,42793.0,39.9
P000459,35.4,49015.0,50.2
P000460,31.1,56132.0,41.2
P000461,31.0,88332.0,45.7
P000462,,59201.0,56.8
P000463,26.1,92857.0,38.6
P000464,34.9,41831.0,55.9
P000465,28.7,60851.0,47.8
P000466,38.5,94408.0,56.4
P000467,35.5,57554.0,37.3
P000468,30.3,112884.0,50.6
P000469,30.5,59061.0,46.2
P000470,37.2,62031.0,40.4
P000471,32.7,87804.0,52.2
P000472,40.3,38491.0,50.6
P000473,34.2,43297.0,52.9
P000474,33.6,40984.0,53.6
P000475,36.7,92811.0,51.7
P000476,36.5,84305.0,39.9
P000477,27.7,71574.0,59.2
P000478,37.3,73917.0,45.5
P000479,32.6,60398.0,49.2
P000480,31.9,74135.0,52.5
P000481,29.5,53449.0,39.6
P000482,,,42.8
P000483,38.7,65333.0,44.1
P000484,35.3,108624.0,52.4
P000485,35.9,62149.0,34.2
P000486,32.4,65405.0,39.6
P000487,34.4,95367.0,50.8
P000488,36.3,48255.0,53.8
P000489,26.4,61387.0,44.5
P000490,41.7,37286.0,52.8
P000491,30.6,70833.0,41.9
P000492,35.8,66806.0,55.9
P000493,25.6,66993.0,42.0
P000494,30.4,76899.0,33.8
P000495,40.3,71684.0,51.6
P000496,35.8,68958.0,56.0
P000497,34.8,100622.0,53.9
P000498,32.9,47017.0,32.8
P000499,30.2,66675.0,50.5
P000500,31.4,116219.0,31.5
P000501,34.7,66338.0,54.2
P000502,30.9,71214.0,42.2
P000503,39.4,91869.0,42.5
P000504,38.5,41460.0,26.8
P000505,39.9,60589.0,47.2
P000506,39.9,83796.0,39.2
P000507,32.3,77995.0,52.9
P000508,26.1,41267.0,50.9
P000509,25.1,55175.0,35.1
P000510,27.1,,47.1
P000511,25.9,56424.0,43.9
P000512,23.2,40866.0,40.6
P000513,40.8,103525.0,39.8
P000514,30.8,,39.2
P000515,27.8,47951.0,21.5
P000516,33.4,65698.0,51.5
P000517,35.1,45260.0,49.6
P000518,31.4,,45.0
P000519,31.4,44402.0,41.6
P000520,27.6,52238.0,50.6
P000521,30.2,64413.0,45.1
P000522,39.7,59260.0,50.2
P000523,36.2,75535.0,57.2
P000524,36.1,74473.0,51.7
P000525,33.5,53884.0,40.3
P000526,30.0,59878.0,53.2
P000527,37.4,96250.0,43.6
P000528,29.3,42922.0,41.6
P000529,32.7,120476.0,45.2
P000530,37.1,49666.0,61.3
P000531,30.6,72427.0,40.3
P000532,24.4,59441.0,48.4
P000533,26.8,56306.0,39.3
P000534,41.4,66140.0,51.6
P000535,32.3,56581.0,46.7
P000536,34.5,120562.0,39.2
P000537,37.6,57622.0,49.3
P000538,26.9,91039.0,46.5
P000539,36.7,82076.0,29.9
P000540,31.3,47372.0,51.1
P000541,29.5,79161.0,35.7
P000542,28.2,67046.0,39.5
P000543,39.4,54381.0,47.9
P000544,38.1,71970.0,45.4
P000545,36.6,76110.0,53.1
P000546,30.5,75325.0,38.2
P000547,26.7,75773.0,55.2
P000548,29.0,52915.0,38.0
P000549,26.1,77353.0,50.0
P000550,37.0,72893.0,36.3
P000551,38.4,63612.0,48.6
P000552,27.1,52548.0,29.4
P000553,25.8,46792.0,40.6
P000554,37.3,36070.0,52.7
P000555,34.5,75589.0,43.7
P000556,33.9,79367.0,50.2
P000557,26.6,34922.0,43.9
P000558,29.9,50810.0,33.5
P000559,38.0,52543.0,53.4
P000560,32.7,76194.0,64.2
P000561,21.7,55433.0,31.3
P000562,,106513.0,43.8
P000563,35.1,63781.0,45.8
P000564,34.7,86594.0,52.0
P000565,32.4,44485.0,52.5
P000566,33.0,61619.0,54.5
P000567,33.1,53752.0,40.5
P000568,22.1,46291.0,51.8
P000569,36.2,81226.0,44.2
P000570,31.1,58789.0,53.3
P000571,38.3,54341.0,44.3
P000572,26.0,92865.0,48.6
P000573,34.5,77714.0,43.9
P000574,29.1,30758.0,22.1
P000575,27.9,77308.0,45.6
P000576,36.6,62687.0,47.7
P000577,27.1,64485.0,41.3
P000578,31.9,,61.9
P000579,37.6,45358.0,59.5
P000580,24.5,126295.0,54.6
P000581,35.5,52418.0,57.2
P000582,28.3,39599.0,32.9
P000583,25.3,78126.0,48.9
P000584,30.0,69383.0,34.6
P000585,32.6,,59.8
P000586,37.0,51596.0,42.5
P000587,33.2,35917.0,47.0
P000588,30.8,49262.0,48.3
P000589,32.1,49065.0,43.7
P000590,36.5,67769.0,59.3
P000591,39.0,76345.0,47.5
P000592,26.5,45375.0,45.8
P000593,35.7,60288.0,57.4
P000594,37.1,64949.0,40.3
P000595,30.5,129563.0,54.5
P000596,26.6,69844.0,41.4
P000597,37.9,45496.0,42.2
P000598,32.1,53377.0,48.5
P000599,29.9,72818.0,52.0
P000600,29.7,50530.0,37.0
