ClientID,TransactionFreq,AvgTransactionValue_USD,ProductA_holding,ProductB_holding,ProductC_holding,ProductD_holding,ServiceUsage_score,ChurnRiskScore
500063,21.84,390.89,1,0,0,0,3.63,37.67
500064,13.81,157.23,0,0,0,0,7.18,12.83
500065,28.52,250.53,1,0,0,0,7.67,20.88
500066,24.58,131.27,0,0,0,0,2.27,37.4
500067,12.2,269.82,0,0,0,1,6.85,31.09
500068,16.94,895.04,0,1,0,0,7.75,10.97
500069,21.62,235.94,1,1,0,0,7.55,15.51
500070,15.45,170.84,0,0,1,0,7.94,15.31
500071,15.66,193.63,1,0,0,0,5.91,4.45
500072,18.26,98.07,0,0,0,0,4.63,20.3
500073,10.54,488.12,0,0,0,0,3.26,23.81
500074,2.37,261.31,1,0,0,0,8.47,13.11
500075,19.67,123.56,0,0,0,0,7.77,27.89
500076,4.08,125.79,0,0,0,0,8.6,8.81
500077,11.05,221.86,1,0,0,0,5.19,37.64
500078,5.6,367.32,1,0,1,0,7.95,13.08
500079,6.46,116.81,0,0,0,0,3.8,27.75
500080,20.98,405.86,0,0,0,0,4.93,30.3
500081,16.44,209.19,0,0,0,0,6.73,36.87
500082,16.19,131.89,1,0,0,0,7.69,23.44
500083,8.79,170.1,1,1,1,0,9.52,8.61
500084,13.41,575.55,1,1,1,0,6.07,23.16
500085,20.64,102.53,1,0,0,0,4.94,18.24
500086,17.64,147.1,1,0,0,0,4.85,17.69
500087,23.76,371.5,1,0,1,0,5.26,25.21
500088,24.76,247.81,1,1,1,1,10.0,1.04
500089,16.23,142.37,0,1,1,0,7.86,15.07
500090,5.03,374.0,0,0,0,0,8.5,22.33
500091,12.7,383.9,1,0,0,0,6.07,14.96
500092,17.32,263.99,0,0,0,1,6.5,18.06
500093,12.56,157.09,1,0,0,0,7.76,25.72
500094,10.62,170.98,0,0,0,0,5.59,29.54
500095,18.49,257.29,0,0,0,0,5.98,34.31
500096,35.01,106.92,0,1,0,0,5.29,22.8
500097,14.58,456.65,1,0,0,0,5.69,14.31
500098,17.98,560.45,1,0,0,0,6.59,13.21
500099,8.82,193.22,0,0,0,0,5.02,28.7
500100,26.7,267.6,1,0,0,0,7.01,11.77
500101,24.12,422.34,0,0,0,0,7.01,27.98
500102,23.64,644.96,0,1,1,0,6.18,32.67
500103,27.52,518.0,1,1,0,0,5.01,40.85
500104,15.01,84.7,0,0,0,0,6.69,22.3
500105,15.88,184.95,0,0,0,0,5.59,18.94
500106,29.97,289.75,1,0,1,1,6.58,15.48
500107,22.43,167.64,0,1,0,0,8.48,6.78
500108,2.47,586.49,0,0,0,0,4.24,43.78
500109,21.18,539.04,1,1,0,0,10.0,1.97
500110,13.93,140.45,1,0,0,0,6.37,36.36
500111,24.29,201.2,1,1,1,0,7.24,5.8
500112,20.86,145.67,0,0,0,0,5.15,34.82
500113,5.82,197.61,0,1,0,1,8.56,0.0
500114,19.88,194.35,1,1,0,0,6.27,37.48
500115,19.47,371.84,0,0,0,0,5.79,39.41
500116,20.54,134.96,1,0,0,1,5.46,20.59
500117,22.03,52.17,0,1,0,0,6.02,35.84
500118,28.47,91.02,0,1,1,0,7.25,11.0
500119,20.9,124.97,1,0,0,0,6.81,32.53
500120,18.16,153.39,1,0,0,1,6.43,12.11
500121,26.04,243.85,1,0,1,0,5.22,26.43
500122,33.7,121.48,0,0,1,0,5.12,27.44
500123,24.41,113.02,1,0,0,0,5.67,13.38
500124,19.44,131.95,0,0,1,0,7.33,13.08
500125,21.03,119.11,1,0,1,0,7.69,25.95
500126,19.79,162.17,1,0,0,1,7.93,0.0
500127,18.13,158.4,0,1,0,1,6.5,24.78
500128,33.16,321.38,1,1,1,0,7.19,8.55
500129,12.76,127.66,0,0,0,0,6.2,32.45
500130,26.08,180.72,0,0,0,0,3.36,34.13
500131,17.12,163.02,1,0,0,0,6.11,41.38
500132,7.64,343.27,1,1,0,0,5.82,48.39
500133,16.68,202.1,1,0,1,0,4.63,22.27
500134,14.17,392.1,0,0,1,0,5.48,39.59
500135,22.04,116.73,1,0,0,0,6.74,29.45
500136,18.64,214.11,0,1,0,0,4.46,37.72
500137,10.85,160.27,1,0,0,0,5.22,24.64
500138,28.3,112.09,0,1,0,0,9.29,4.34
500139,25.63,211.98,0,1,0,0,3.62,20.52
500140,29.1,570.63,0,0,0,0,6.17,13.49
500141,19.66,137.62,0,0,0,0,4.4,47.31
500142,17.75,205.11,1,0,0,0,5.15,27.85
500143,22.92,106.9,1,1,0,0,6.14,1.05
500144,13.96,98.6,0,0,0,0,4.72,38.31
500145,18.91,142.68,1,1,0,0,7.53,2.56
500146,16.77,171.77,0,0,0,1,8.93,13.86
500147,7.77,176.01,0,1,0,1,8.02,28.66
500148,18.89,194.28,1,0,0,1,8.34,7.88
500149,14.91,88.86,0,1,0,0,4.02,27.05
500150,16.3,155.92,1,0,0,0,6.06,22.47
500151,20.55,289.92,0,0,1,0,7.34,23.29
500152,26.91,104.23,1,0,0,0,8.07,0.0
500153,12.06,180.96,0,1,1,0,9.66,14.17
500154,15.64,258.45,1,0,0,0,8.42,14.46
500155,12.64,143.08,0,0,1,1,8.11,9.81
500156,12.19,265.46,0,0,0,0,10.0,12.81
500157,13.84,95.3,0,0,0,0,6.67,19.33
500158,16.62,358.62,0,0,1,0,5.98,29.11
500159,22.1,269.03,0,0,0,1,6.82,31.16
500160,20.24,226.84,0,0,0,0,4.85,42.27
500161,10.6,408.41,0,1,1,0,6.62,20.64
500162,27.06,183.55,0,1,0,0,3.39,34.44
500163,24.61,156.62,0,0,0,0,5.55,19.02
500164,11.69,468.03,0,0,0,0,6.29,30.54
500165,26.57,605.5,1,1,0,0,8.21,8.29
500166,20.29,150.24,0,1,1,1,8.5,0.0
500167,16.9,206.66,1,0,0,0,4.77,23.68
500168,20.51,390.88,1,1,0,1,10.0,5.57
500169,17.82,210.74,0,0,1,1,6.77,19.87
500170,21.82,305.1,1,0,0,1,6.93,15.1
500171,19.31,337.93,1,1,1,0,3.59,16.8
500172,15.64,161.48,0,0,0,0,5.38,26.41
500173,3.82,277.06,0,1,0,0,8.39,22.37
500174,21.69,219.25,1,0,0,0,6.81,10.59
500175,15.38,112.66,0,0,1,0,6.69,25.28
500176,23.45,127.65,1,1,0,0,6.91,21.88
500177,21.37,153.67,0,0,0,0,3.9,36.49
500178,15.57,366.62,1,0,0,0,6.33,23.95
500179,25.16,373.3,1,0,1,0,9.03,2.2
500180,19.43,332.31,0,0,1,0,8.46,8.06
500181,19.15,280.25,0,0,0,0,6.27,19.94
500182,17.03,276.08,0,0,0,0,9.31,31.72
500183,29.78,256.28,0,0,0,0,4.23,39.94
500184,13.01,275.28,0,0,0,0,4.75,15.14
500185,15.74,285.74,0,1,0,0,9.85,9.37
500186,9.34,101.62,1,1,0,0,7.54,19.79
500187,23.09,142.45,0,1,0,0,5.98,30.57
500188,13.92,124.93,0,0,1,0,6.4,16.47
500189,14.71,404.46,1,0,1,0,5.05,26.07
500190,14.38,546.42,1,1,0,1,7.0,2.62
500191,18.44,66.73,1,0,0,0,6.86,25.34
500192,9.24,520.23,0,0,0,0,6.54,30.58
500193,2.3,230.75,0,0,0,0,4.41,32.03
500194,21.2,383.99,0,0,1,0,6.98,25.21
500195,3.21,290.67,1,0,0,0,5.55,23.21
500196,23.98,485.82,1,1,0,0,4.73,24.5
500197,28.91,246.9,0,0,0,1,8.78,5.65
500198,16.85,103.93,1,1,1,0,10.0,0.0
500199,27.1,207.58,1,0,1,1,10.0,0.0
500200,17.83,292.14,0,0,0,0,7.67,24.37
500201,29.19,195.36,0,0,0,0,6.02,23.44
500202,14.81,315.89,0,0,0,0,6.37,26.06
500203,1.45,212.19,0,1,0,0,7.23,22.59
500204,17.44,158.55,1,0,1,0,5.74,38.36
500205,29.96,121.07,0,0,0,1,8.87,15.33
500206,21.74,177.35,0,0,0,0,2.84,45.85
500207,14.39,246.2,0,0,0,0,5.97,32.26
500208,20.3,74.89,1,1,1,1,7.94,0.0
500209,24.8,143.25,0,1,0,0,4.98,28.03
500210,17.4,73.36,1,0,0,0,6.07,11.67
500211,36.38,156.68,1,0,1,0,7.57,9.04
500212,14.38,425.03,0,0,1,0,9.23,16.95
500213,25.02,114.58,0,0,0,0,4.17,22.71
500214,23.33,323.88,0,0,0,0,4.04,26.18
500215,13.1,1054.14,0,0,0,0,4.8,42.37
500216,15.03,489.35,1,0,0,0,3.73,34.14
500217,25.13,236.76,0,0,0,0,3.86,28.15
500218,19.01,352.75,1,0,0,0,4.75,44.48
500219,20.37,103.58,1,0,1,0,8.72,20.81
500220,6.55,92.6,0,1,0,0,5.94,25.68
500221,22.59,223.5,1,0,0,0,6.56,19.49
500222,20.01,273.93,0,1,0,1,4.78,24.26
500223,17.55,401.64,1,0,1,0,7.64,11.77
500224,20.53,160.9,0,0,1,0,9.88,6.72
500225,15.14,244.69,1,0,0,1,4.9,20.59
500226,13.86,240.12,0,0,1,0,9.6,13.65
500227,16.31,204.66,0,0,0,0,7.16,35.96
500228,14.75,211.4,0,1,0,0,6.53,38.03
500229,33.26,137.49,1,0,1,0,7.22,19.16
500230,24.38,256.59,0,0,0,1,7.2,25.16
500231,11.22,244.91,0,1,0,1,9.84,0.0
500232,32.25,172.71,1,1,0,1,7.44,14.7
500233,14.97,317.29,0,0,0,1,7.47,29.97
500234,18.21,387.2,0,0,1,0,5.74,28.86
500235,24.28,319.32,0,0,0,0,8.01,24.81
500236,4.21,124.0,0,0,0,0,4.78,42.01
500237,16.34,232.39,1,0,0,0,6.7,33.26
500238,13.99,133.27,0,1,0,0,10.0,13.51
500239,19.44,232.0,0,0,0,0,1.99,57.37
500240,20.59,133.55,0,0,0,1,6.92,29.4
500241,17.46,444.11,0,0,0,0,6.99,17.66
500242,17.13,338.48,1,0,0,0,6.09,23.88
500243,25.46,414.79,1,1,0,0,6.13,20.06
500244,20.11,392.32,0,1,0,0,6.66,23.43
500245,18.29,189.58,0,0,0,0,6.05,17.44
500246,19.04,174.08,0,0,0,0,6.9,24.83
500247,30.85,573.4,0,0,0,0,5.62,7.11
500248,19.21,200.9,1,0,0,1,10.0,10.36
500249,14.4,104.44,0,0,0,0,6.05,24.95
500250,4.64,382.88,1,0,0,0,7.53,22.53
500251,7.96,238.1,0,0,0,0,5.3,37.28
500252,14.73,503.66,1,1,0,0,8.18,16.41
500253,17.24,251.45,0,0,0,0,7.82,3.72
500254,14.11,217.59,1,1,0,0,7.25,17.55
500255,20.46,509.28,1,0,0,0,4.65,6.91
500256,14.02,94.39,1,1,0,0,5.15,4.39
500257,11.6,159.44,0,0,0,0,9.54,14.22
500258,22.29,135.04,1,0,0,0,5.13,19.52
500259,27.59,65.78,0,1,0,0,7.65,10.77
500260,10.25,355.62,0,0,0,0,4.8,28.52
500261,19.71,161.91,1,0,0,1,8.32,23.44
500262,4.66,361.98,0,0,0,0,5.26,49.91
500263,7.68,272.5,0,0,0,0,4.77,38.46
500264,13.88,307.22,1,0,0,0,5.22,32.08
500265,25.94,171.26,1,0,0,0,5.5,19.24
500266,12.55,144.5,0,0,0,0,7.23,30.53
500267,12.29,231.13,0,1,1,1,6.62,14.58
500268,18.25,364.73,1,0,1,0,4.53,23.27
500269,18.26,213.99,0,0,0,0,6.45,40.3
500270,12.5,149.54,0,1,0,0,4.44,29.13
500271,31.9,113.77,0,0,1,1,7.66,25.21
500272,16.14,246.14,0,1,1,0,7.99,11.16
500273,18.8,162.21,0,0,1,0,6.46,16.88
500274,15.19,211.49,0,0,1,0,6.99,7.19
500275,21.08,192.92,1,0,0,1,9.65,14.42
500276,26.64,172.29,0,1,0,0,6.22,49.62
500277,29.65,258.58,1,1,0,0,4.8,30.03
500278,12.66,298.45,0,0,0,0,7.54,20.42
500279,25.71,648.42,0,0,1,0,4.46,38.21
500280,21.85,333.79,1,0,0,0,6.12,0.0
500281,24.82,528.56,1,0,0,0,5.42,8.53
500282,17.36,140.25,0,1,1,0,5.24,27.77
500283,16.69,91.2,0,0,1,0,6.05,24.96
500284,24.55,218.26,0,1,0,0,8.12,20.56
500285,24.68,352.67,0,0,1,0,8.49,18.0
500286,28.96,323.52,1,0,1,0,8.17,0.0
500287,19.39,428.33,1,0,0,1,7.11,12.32
500288,17.25,54.52,0,0,0,0,6.04,17.0
500289,1.0,438.24,0,0,0,0,2.26,33.29
500290,6.72,264.58,0,1,0,0,7.16,34.56
500291,15.24,94.11,0,1,0,0,2.4,31.7
500292,10.29,327.53,1,1,0,0,3.04,35.98
500293,23.7,241.49,0,0,0,0,6.21,35.87
500294,8.83,271.32,0,0,0,0,6.98,14.3
500295,14.49,381.13,0,0,0,0,5.69,33.55
500296,14.77,278.74,1,0,0,1,9.26,18.11
500297,26.43,97.86,0,0,0,1,7.33,23.37
500298,13.74,203.36,0,1,0,0,6.05,29.83
500299,21.17,90.37,0,1,0,0,9.0,11.43
500300,19.37,314.38,0,0,0,0,9.32,5.55
500301,24.32,474.62,1,1,0,0,7.42,13.61
500302,23.95,111.14,0,0,0,0,5.1,53.39
500303,17.77,152.07,0,1,0,0,5.51,17.69
500304,6.13,135.41,0,0,0,0,3.9,36.47
500305,16.38,171.4,0,1,0,0,6.42,22.21
500306,17.86,276.02,1,0,0,0,4.61,35.69
500307,20.0,172.42,0,1,0,0,5.91,30.18
500308,12.84,314.98,1,1,1,0,6.97,5.53
500309,25.99,395.28,1,0,0,0,2.93,14.4
500310,18.1,403.27,0,0,0,0,4.23,32.57
500311,11.56,118.94,1,0,0,0,5.59,33.9
500312,14.79,471.49,0,1,0,1,6.41,15.31
500313,31.5,492.73,0,0,1,1,5.61,15.6
500314,22.65,516.77,1,0,0,0,6.01,33.23
500315,25.34,201.71,1,0,0,0,5.23,34.41
500316,10.71,145.49,1,1,0,0,3.89,36.91
500317,13.18,128.03,1,0,0,0,5.54,26.92
500318,13.23,120.02,1,0,0,0,6.12,18.54
500319,19.29,221.42,1,0,0,0,5.94,37.85
500320,16.78,350.71,1,0,0,0,6.7,33.25
500321,14.57,451.35,1,0,1,1,7.25,14.75
500322,15.45,168.44,1,1,0,0,7.73,19.12
500323,12.44,215.37,1,1,0,0,5.36,24.31
500324,16.74,207.75,1,1,0,0,3.66,28.85
500325,25.79,155.12,1,0,0,0,8.79,16.49
500326,7.41,329.74,1,1,0,0,7.19,13.25
500327,20.43,268.59,1,1,0,0,4.78,26.49
500328,27.66,237.85,1,1,0,0,7.0,0.0
500329,16.72,267.92,0,1,0,1,8.42,7.72
500330,14.3,308.62,1,0,0,0,9.61,8.54
500331,24.47,306.93,1,1,0,0,6.95,23.37
500332,11.11,138.72,0,0,0,0,8.41,13.48
500333,17.84,360.18,0,0,0,0,4.32,42.43
500334,10.72,253.17,1,0,0,0,6.44,18.8
500335,4.91,173.22,0,0,0,1,5.9,13.0
500336,16.94,250.25,0,0,0,1,7.12,14.62
500337,9.16,265.89,0,0,0,1,9.4,15.48
500338,17.92,398.86,0,1,0,1,6.95,15.16
500339,25.81,123.75,0,0,1,0,4.81,17.35
500340,30.98,455.94,0,0,0,0,4.23,32.35
500341,18.65,222.82,1,1,0,0,9.46,7.11
500342,25.13,166.54,0,0,1,0,7.42,26.83
500343,20.79,163.76,0,0,0,1,7.31,14.15
500344,15.32,126.83,1,0,0,0,5.88,18.93
500345,4.53,84.45,1,0,1,0,6.98,7.01
500346,29.39,319.32,0,1,0,0,4.72,22.18
500347,10.66,654.01,0,0,0,0,7.2,25.76
500348,27.68,90.37,0,1,0,0,4.39,36.66
500349,21.76,130.44,1,0,0,0,5.85,41.21
500350,11.17,332.62,0,0,0,0,5.34,43.1
500351,20.18,214.55,1,0,0,0,1.0,51.83
500352,32.93,348.12,0,0,0,0,5.88,22.34
500353,28.75,208.03,0,0,0,0,4.88,28.0
500354,14.41,159.86,1,0,0,0,6.12,49.07
500355,13.02,194.3,0,1,0,0,6.5,19.27
500356,18.7,59.35,1,0,0,0,9.68,12.32
500357,16.84,117.3,1,1,0,0,7.05,17.99
500358,26.4,370.62,0,1,1,0,7.1,16.89
500359,23.18,423.76,1,1,1,0,7.39,4.81
500360,6.15,476.76,0,0,1,0,8.07,25.08
500361,21.21,280.37,0,0,0,0,7.32,22.55
500362,16.75,63.61,1,1,0,0,7.01,22.99
500363,18.26,155.15,0,0,0,0,7.78,34.03
500364,19.74,455.86,0,0,0,0,2.13,30.46
500365,26.39,537.17,0,1,1,0,10.0,0.0
500366,24.84,465.49,0,1,0,1,9.36,1.24
500367,12.75,193.19,0,0,0,0,6.89,28.79
500368,17.59,107.23,0,0,0,0,3.96,18.29
500369,14.86,215.14,1,1,0,0,8.68,7.98
500370,6.23,221.8,1,1,0,0,5.25,27.14
500371,17.23,520.45,0,0,0,0,7.46,11.51
500372,30.91,249.36,1,0,0,0,4.19,26.09
500373,6.02,222.03,0,1,1,0,10.0,9.97
500374,17.83,229.08,0,0,0,0,3.9,44.6
500375,17.61,274.12,1,0,0,0,6.62,39.55
500376,20.01,310.5,0,0,0,0,2.68,39.87
500377,11.26,147.69,1,1,0,0,6.43,8.98
500378,8.02,122.97,1,0,0,0,5.73,27.0
500379,8.35,467.52,0,0,0,0,8.55,24.28
500380,27.32,89.22,0,0,0,0,5.73,33.88
500381,11.12,541.52,0,0,1,0,8.55,12.98
500382,14.5,76.92,1,0,0,0,4.66,28.94
500383,32.73,159.51,0,0,1,0,5.99,13.5
500384,12.86,375.46,0,0,0,0,6.03,21.55
500385,20.4,220.04,0,1,1,1,7.39,18.74
500386,25.45,106.65,1,0,0,0,7.16,7.54
500387,25.11,278.15,1,1,0,0,7.8,9.56
500388,8.68,228.26,0,0,0,0,6.98,34.52
500389,13.01,195.35,0,0,0,0,7.69,20.75
500390,20.12,156.1,1,1,0,0,4.88,13.04
500391,31.5,215.85,0,0,0,0,7.2,33.1
500392,12.67,159.74,0,0,0,0,9.39,21.42
500393,14.54,839.34,0,0,0,0,3.48,38.98
500394,20.94,192.79,0,0,1,0,7.38,18.42
500395,22.34,179.12,1,1,0,0,7.72,13.62
500396,22.76,163.32,0,1,0,0,9.13,7.76
500397,12.08,584.61,0,0,1,1,7.81,21.19
500398,14.28,89.31,0,0,0,0,6.68,30.51
500399,19.51,268.09,0,0,0,0,7.27,31.68
500400,26.84,192.87,0,0,0,0,5.18,26.1
500401,16.33,100.56,1,0,0,0,5.8,8.13
500402,17.84,140.21,0,0,0,0,4.1,36.67
500403,10.82,261.9,0,0,1,0,9.18,10.68
500404,31.04,136.76,1,0,0,0,7.31,34.8
500405,19.08,253.76,0,0,0,1,4.85,30.54
500406,25.54,569.44,1,0,1,0,6.99,16.1
500407,18.21,241.64,0,1,1,0,8.59,13.54
500408,18.6,98.91,0,0,0,0,8.29,25.76
500409,7.5,138.09,0,1,0,0,4.83,25.44
500410,2.94,188.04,0,0,0,0,1.0,49.47
500411,26.76,181.25,1,0,0,0,7.21,14.42
500412,18.55,239.18,0,0,0,0,4.9,41.43
500413,19.44,261.25,0,1,1,0,7.62,1.05
500414,9.26,569.88,1,0,0,0,8.21,15.91
500415,11.68,219.55,1,1,0,1,8.5,0.0
500416,25.44,116.74,0,1,0,0,9.64,8.47
500417,30.18,414.98,1,0,0,0,8.73,0.0
500418,13.65,440.67,1,0,0,0,9.65,7.79
500419,22.7,250.0,1,1,1,0,8.98,9.76
500420,19.33,192.12,1,0,0,0,9.14,1.65
500421,17.16,309.83,0,0,0,0,6.43,12.23
500422,30.96,195.89,0,0,0,0,4.18,42.6
500423,14.83,71.02,1,0,0,0,10.0,14.35
500424,26.68,299.93,0,0,0,1,6.61,20.49
500425,20.67,359.37,1,1,1,0,8.71,0.0
500426,17.88,486.01,0,1,0,0,5.51,26.76
500427,27.6,147.19,1,0,0,0,8.24,29.43
500428,20.03,249.14,0,0,0,0,2.1,35.63
500429,17.33,252.12,0,0,1,0,5.76,36.09
500430,27.66,230.58,0,1,0,0,6.32,18.09
500431,26.74,234.35,0,0,0,1,7.33,17.27
500432,26.41,224.54,1,0,0,0,8.43,7.98
500433,1.0,247.17,1,0,0,0,4.53,40.74
500434,21.08,330.63,1,0,1,0,7.69,16.53
500435,19.48,430.43,0,0,0,0,8.71,20.14
500436,17.76,145.13,1,0,0,0,10.0,15.97
500437,22.27,200.11,0,1,1,0,7.77,15.94
500438,19.82,174.37,0,0,0,0,5.67,32.74
500439,22.74,161.18,0,0,0,0,4.21,34.05
500440,16.12,90.45,1,0,0,0,9.79,5.51
500441,28.49,222.95,1,1,0,0,7.83,14.74
500442,23.45,286.36,0,0,0,0,6.46,36.47
500443,21.8,202.01,0,0,0,0,3.58,39.71
500444,21.46,218.92,0,0,0,0,4.82,17.04
500445,26.1,276.93,1,0,1,0,7.64,2.41
500446,25.15,478.06,1,0,0,0,7.14,13.55
500447,17.21,174.65,1,0,0,0,3.0,39.8
500448,24.93,115.5,1,0,0,0,7.64,17.2
500449,19.22,209.32,0,1,0,0,3.68,19.64
500450,31.42,619.92,0,0,1,0,8.94,18.53
500451,25.68,116.18,0,0,0,1,6.88,13.94
500452,13.62,314.57,0,0,0,0,5.67,30.44
500453,34.31,415.91,1,0,1,1,8.28,4.75
500454,3.29,59.89,0,0,1,0,7.14,17.81
500455,22.46,275.68,0,0,0,1,8.88,6.36
500456,13.13,306.59,1,0,0,0,6.64,0.03
500457,31.18,189.92,0,1,0,0,6.75,17.7
500458,19.77,154.17,0,0,0,0,5.99,19.59
500459,12.44,158.98,0,1,0,0,6.97,17.74
500460,16.13,183.63,1,0,0,0,9.56,0.0
500461,13.0,186.32,0,0,0,0,5.6,38.46
500462,15.86,167.96,0,0,1,0,7.67,24.46
500463,15.7,182.03,0,0,0,0,4.92,32.66
500464,12.74,423.5,1,0,0,0,2.78,31.29
500465,19.89,112.81,1,0,1,0,6.87,8.21
500466,20.74,84.07,0,0,1,0,7.17,15.71
500467,11.03,427.25,1,0,1,0,6.3,18.06
500468,6.39,197.95,1,0,0,0,3.81,25.59
500469,20.18,177.7,0,0,0,0,7.05,17.57
500470,21.72,206.95,1,1,0,0,6.98,21.89
500471,23.11,246.84,0,1,1,0,4.9,4.81
500472,21.86,164.91,0,0,0,0,4.06,44.92
500473,29.01,290.58,0,0,0,0,6.05,29.5
500474,24.98,129.59,0,1,0,0,7.68,17.09
500475,36.76,186.35,1,1,0,0,7.25,10.85
500476,39.7,65.08,1,0,0,0,4.91,28.16
500477,5.69,419.2,1,1,0,0,6.75,21.33
500478,2.62,199.69,1,0,0,0,8.1,20.31
500479,17.95,318.04,0,0,0,0,4.39,33.13
500480,21.53,285.93,0,0,0,0,6.61,28.74
500481,17.47,297.68,0,1,0,1,8.91,15.17
500482,22.93,219.06,1,1,1,0,4.21,22.77
500483,16.11,272.37,1,1,0,1,8.58,0.0
500484,13.14,129.66,0,1,0,0,9.41,13.43
500485,14.2,115.52,0,0,0,0,6.1,36.09
500486,16.6,208.1,1,0,0,0,5.88,23.1
500487,23.9,151.37,1,1,0,0,8.36,18.41
500488,14.59,481.85,1,0,0,0,6.16,18.59
500489,15.98,270.41,0,0,0,0,2.26,59.29
500490,21.99,148.35,1,1,0,0,6.32,18.66
500491,16.61,189.48,0,1,0,0,7.35,34.39
500492,25.82,236.7,1,0,1,0,7.83,17.65
500493,11.56,211.92,0,0,0,0,4.91,20.62
500494,10.05,255.47,0,0,0,1,6.01,44.34
500495,20.13,228.47,1,1,0,0,8.26,4.66
500496,20.83,102.39,0,0,0,0,6.39,28.95
500497,11.95,67.4,0,1,0,0,3.75,25.09
500498,27.41,179.14,0,1,0,0,8.73,5.25
500499,31.47,299.44,0,0,0,1,6.11,28.95
500500,13.61,180.25,1,0,0,0,8.46,24.12
500501,28.41,434.3,1,1,0,0,3.99,48.08
500502,1.33,214.4,0,1,0,0,6.28,13.44
500503,25.53,464.09,0,0,0,0,7.42,0.0
500504,12.0,414.54,0,1,1,0,6.34,30.65
500505,24.83,392.22,1,0,1,0,4.37,21.53
500506,11.27,113.49,0,0,0,0,2.2,58.9
500507,17.52,222.08,1,1,0,0,9.24,10.99
500508,12.33,431.02,1,0,0,0,6.95,13.31
500509,16.5,255.55,0,1,0,0,8.6,0.0
500510,30.81,298.43,0,0,0,0,8.17,27.67
500511,17.24,102.54,1,0,0,0,7.57,26.56
