ApplicantID,NumCreditCards,DebtToIncomeRatio,PreviousLoanDefaults
200771,0,0.408,0
200772,1,0.502,1
200773,4,0.019,0
200774,1,0.052,0
200775,2,0.056,0
200776,3,0.429,0
200777,5,0.347,0
200778,4,0.244,0
200779,4,0.18,0
200780,6,0.295,0
200781,4,0.17,0
200782,1,0.078,0
200783,3,0.588,1
200784,3,0.254,0
200785,1,0.123,0
200786,3,0.199,0
200787,3,0.392,1
200788,1,0.358,0
200789,5,0.136,1
200790,1,0.167,1
200791,4,0.502,0
200792,3,0.302,1
200793,1,0.343,0
200794,2,0.156,1
200795,3,0.063,1
200796,2,0.208,0
200797,1,0.273,1
200798,7,0.357,0
200799,2,0.229,1
200800,2,0.029,0
200801,2,0.318,1
200802,3,0.304,0
200803,1,0.104,1
200804,3,0.293,2
200805,3,0.631,0
200806,1,0.485,2
200807,6,0.524,0
200808,2,0.144,0
200809,5,0.354,2
200810,3,0.038,0
200811,3,0.213,1
200812,3,0.249,0
200813,2,0.309,0
200814,4,0.378,0
200815,4,0.32,0
200816,5,0.151,0
200817,3,0.201,0
200818,4,0.227,1
200819,4,0.268,0
200820,1,0.748,0
200821,5,0.443,0
200822,1,0.158,0
200823,3,0.357,1
200824,3,0.038,0
200825,1,0.22,1
200826,2,0.125,1
200827,2,0.254,1
200828,2,0.285,0
200829,5,0.323,0
200830,3,0.341,0
200831,4,0.024,1
200832,2,0.063,0
200833,4,0.194,2
200834,0,0.274,0
200835,2,0.2,1
200836,4,0.245,2
200837,3,0.2,0
200838,0,0.246,0
200839,3,0.22,0
200840,3,0.014,1
200841,4,0.521,0
200842,4,0.15,0
200843,3,0.152,0
200844,5,0.515,0
200845,2,0.103,0
200846,4,0.098,1
200847,1,0.326,0
200848,4,0.15,0
200849,4,0.25,0
200850,3,0.23,1
200851,7,0.417,1
200852,4,0.089,0
200853,2,0.379,0
200854,2,0.286,2
200855,5,0.152,0
200856,1,0.013,0
200857,0,0.091,0
200858,2,0.029,0
200859,2,0.371,1
200860,3,0.3,1
200861,4,0.6,0
200862,2,0.252,0
200863,5,0.094,1
200864,2,0.29,0
200865,3,0.274,1
200866,2,0.333,1
200867,1,0.238,0
200868,3,0.404,0
200869,1,0.17,0
200870,2,0.292,0
200871,3,0.176,0
200872,1,0.221,0
200873,1,0.181,0
200874,6,0.284,0
200875,5,0.313,0
200876,6,0.334,0
200877,1,0.153,0
200878,2,0.249,0
200879,3,0.193,0
200880,3,0.115,0
200881,1,0.145,0
200882,2,0.311,1
200883,4,0.5,0
200884,1,0.116,1
200885,2,0.202,0
200886,1,0.475,0
200887,2,0.098,0
200888,3,0.156,0
200889,5,0.3,0
200890,1,0.294,0
200891,5,0.642,0
200892,3,0.233,0
200893,2,0.256,0
200894,1,0.255,0
200895,0,0.277,0
200896,4,0.041,0
200897,1,0.282,0
200898,3,0.238,0
200899,1,0.497,0
200900,2,0.161,2
200901,2,0.181,0
200902,2,0.368,0
200903,1,0.392,1
200904,1,0.498,0
200905,4,0.688,1
200906,2,0.351,1
200907,1,0.112,0
200908,4,0.255,1
200909,3,0.073,0
200910,2,0.07,1
200911,3,0.502,0
200912,5,0.142,1
200913,0,0.291,0
200914,1,0.268,1
200915,0,0.333,1
200916,2,0.213,0
200917,5,0.221,0
200918,5,0.485,0
200919,2,0.511,1
200920,4,0.276,0
200921,2,0.155,0
200922,4,0.298,0
200923,3,0.093,0
200924,4,0.309,0
200925,4,0.525,0
200926,1,0.206,0
200927,9,0.629,0
200928,1,0.273,0
200929,3,0.368,0
200930,0,0.401,0
200931,2,0.246,0
200932,0,0.086,0
200933,2,0.213,0
200934,1,0.302,1
200935,2,0.511,1
200936,3,0.188,0
200937,1,0.295,1
200938,0,0.46,0
200939,2,0.238,0
200940,1,0.573,0
200941,8,0.189,0
200942,2,0.072,1
200943,1,0.272,0
200944,5,0.142,0
200945,1,0.121,0
200946,3,0.276,1
200947,2,0.23,1
200948,1,0.571,0
200949,2,0.105,0
